structId,sortId,name,description,area,category,skill,tier,tierName,completionPercent,skills,wikiNotes
,0,Activate a prayer near an altar,Activate a prayer near an altar.,,,,1,Easy,84.7,,
,1,Bury 6 bones,Bury 6 bones of any kind.,,,,1,Easy,67.7,,
,2,Perform a Special Attack,Perform any special attack.,,,,1,Easy,0.7,,
,3,Reach Combat Level 25,Reach Combat level 25.,,,,1,Easy,46.7,,
,4,Shoot 6 iron arrows,Shoot 6 iron arrows.,,,,1,Easy,38.2,,
,5,Defeat a Chicken,Defeat a chicken.,,,,1,Easy,71.1,,
,6,Defeat a Hill Giant,Defeat a hill giant. This task earns one Demonic Pact.,,,,1,Easy,38,,
,7,Defeat a Frog,Defeat a frog.,,,,1,Easy,41.2,,
,8,Defeat a Rat,Defeat a rat.,,,,1,Easy,66.8,,
,9,Defeat a scorpion,Defeat a scorpion.,,,,1,Easy,31.7,,
,10,Defeat an Imp with an earth spell,Defeat an imp with an earth spell.,,,,1,Easy,31.5,MAGIC 9,9 Magic
,11,Equip a Tyras helm,Equip a Tyras helm.,,,,1,Easy,37.5,DEFENCE 5,5 Defence
,12,Equip an Elemental Staff,Equip a basic elemental staff.,,,,1,Easy,53.5,,
,13,Equip an Iron dagger,Equip an iron dagger.,,,,1,Easy,38.9,,
,14,Attack a dummy,Attack a dummy.,,,,1,Easy,74.5,,
,15,Complete the Leagues Tutorial,Complete the Leagues Tutorial and begin your adventure. This task earns one Demonic Pact.,,,,1,Easy,98.5,,
,16,Dye a cape Purple,Dye a cape purple.,,,,1,Easy,41.2,,
,17,Eat a Rabbit,Eat a cooked rabbit.,,,,1,Easy,61.3,,
,18,Eat an Onion,"Eat an onion, raw.",,,,1,Easy,73.7,,
,19,Feed a dog some bones,"Feed a dog (e.g., Chiribaya) some bones.",,,,1,Easy,71.9,,
,20,Get a haircut,Go and get a haircut.,,,,1,Easy,37,,
,21,Open the Leagues Menu,Open the Leagues menu found within the journal panel. This task earns one Demonic Pact.,,,,1,Easy,99,,
,22,Pick 6 flax,Pick 6 flax.,,,,1,Easy,59.9,,
,23,"Pick 6 wheat, 6 cabbages and 6 potatoes","Pick 6 wheat, 6 cabbage, and 6 potatoes.",,,,1,Easy,71.2,,
,24,Talk to any Port master,Talk to any port master.,,,,1,Easy,67.4,,
,25,Turn off your run,Turn off your run.,,,,1,Easy,81.3,,
,26,Achieve Your First Level 10,Reach level 10 in any skill (not including Agility and Hitpoints).,,,,1,Easy,95.4,,
,27,Achieve Your First Level 5,"Reach level 5 in any skill (not including Agility, Hitpoints and Runecraft).",,,,1,Easy,96.4,,
,28,Achieve Your First Level Up,Level up any of your skills for the first time.,,,,1,Easy,96.7,,
,29,Burn Some Food,Burn any kind of food while trying to cook it.,,,,1,Easy,78.7,,
,30,Burn Some Normal Logs,Burn some normal logs.,,,,1,Easy,85.5,,
,31,Burn Some Oak Logs,Burn some oak logs.,,,,1,Easy,62.7,FIREMAKING 15,15 Firemaking
,32,Cast Home Teleport,Cast the Home Teleport spell.,,,,1,Easy,87.1,,
,33,Catch a Baby Impling,Catch a baby impling.,,,,1,Easy,17.9,HUNTER 17,17 Hunter
,34,Catch a Herring,Catch a raw herring whilst fishing.,,,,1,Easy,36.8,FISHING 10,10 Fishing
,35,Catch a Shrimp,Catch raw shrimp while fishing.,,,,1,Easy,67.2,,
,36,Catch an Anchovy,Catch a raw anchovy whilst fishing.,,,,1,Easy,61.7,FISHING 15,15 Fishing
,37,Chop Some Logs,Chop any kind of logs.,,,,1,Easy,91.8,,Any axe
,38,Chop Some Logs With a Steel Axe,Chop any kind of logs using a steel axe.,,,,1,Easy,55,WOODCUTTING 6,6 Woodcutting
,39,Clean 15 Grimy Tarromin,Clean 15 grimy tarromin.,,,,1,Easy,6.4,HERBLORE 11,11 Herblore
,40,Clean 25 Grimy Guam Leafs,Clean 25 grimy guam leaves.,,,,1,Easy,5,,
,41,Clean a Grimy Guam,Clean a grimy guam leaf.,,,,1,Easy,13.8,,
,42,Cook Shrimp,Cook raw shrimps.,,,,1,Easy,61.3,,
,43,Cook something with an apron,Cook something with an apron equipped.,,,,1,Easy,55.2,,
,44,Craft Leather chaps,Craft leather chaps.,,,,1,Easy,27.4,CRAFTING 18,18 Crafting
,45,Create an Antipoison,Create an antipoison.,,,,1,Easy,0.9,HERBLORE 5,5 Herblore
,46,Cut a Ruby,Cut a ruby.,,,,1,Easy,58.8,CRAFTING 34,34 Crafting
,47,Drink a Strength Potion,Drink a strength potion.,,,,1,Easy,5.7,,
,48,Enter your Player Owned House,Enter your player-owned house.,,,,1,Easy,26.3,,"1,000 coins"
,49,Fletch an Oak Shortbow,Fletch an oak shortbow.,,,,1,Easy,34.9,FLETCHING 20; WOODCUTTING 15,20 Fletching  15 Woodcutting if chopping own log
,50,Fletch Some Arrow Shafts,Fletch some arrow shafts.,,,,1,Easy,76.7,,
,51,Light a Torch,Light a torch.,,,,1,Easy,59.6,,
,52,Make an Attack Potion,Make an attack potion.,,,,1,Easy,3.9,,
,53,Mine 5 Tin Ore,Mine 5 tin ore.,,,,1,Easy,52,,
,54,Mine some Clay,Mine some clay.,,,,1,Easy,48,,
,55,Mine some Ore With a Steel Pickaxe,Mine any ore using a steel pickaxe.,,,,1,Easy,36.9,MINING 6,6 Mining
,56,Obtain a Bird Nest,Obtain a bird nest whilst cutting down trees.,,,,1,Easy,57.9,,
,57,Obtain a Casket from Fishing,Obtain a casket from fishing.,,,,1,Easy,49.8,FISHING 16,16 Fishing
,58,Pickpocket a Citizen,Pickpocket a man or a woman.,,,,1,Easy,92.9,,
,59,Plant Seeds in an Allotment Patch,Plant some seeds in an allotment patch.,,,,1,Easy,22,,Seed dibber
,60,Protect Your Crops,Pay a farmer to protect any of your crops.,,,,1,Easy,18.3,,Items requested by the farmer to protect the crop
,61,Purchase a Player Owned House,Purchase a player-owned house.,,,,1,Easy,42.7,,"1,000 coins"
,62,Rake a Flower Patch,Rake a flower patch.,,,,1,Easy,69,,
,63,Sell some silk to a silk trader,Sell some silk to a silk trader.,,,,1,Easy,50,,
,64,Smelt a Bronze Bar,Use a furnace to smelt a bronze bar.,,,,1,Easy,45.9,,
,65,Smelt an Iron Bar,Use a furnace to smelt an iron bar.,,,,1,Easy,21.8,SMITHING 15,15 Smithing
,66,Snare 15 Tropical Wagtails,Snare 15 tropical wagtails.,,,,1,Easy,24.2,HUNTER 19,19 Hunter
,67,Snare 5 Crimson Swifts,Snare 5 crimson swifts.,,,,1,Easy,35.5,,
,68,Snare a Bird,Catch any bird with a bird snare.,,,,1,Easy,40.7,,
,69,Spin a Ball of Wool,Use a spinning wheel to spin a ball of wool.,,,,1,Easy,51.3,,
,70,Steal some bread,Steal some bread from a bakery stall.,,,,1,Easy,80.8,THIEVING 5,5 Thieving
,71,Successfully Cut a Red Topaz,Successfully cut a red topaz.,,,,1,Easy,4.2,CRAFTING 16,16 Crafting Chisel
,72,Turn any Logs Into a Plank,Use a sawmill to turn logs into a plank.,,,,1,Easy,51.9,,Logs and 100 coins
,73,Witness the gemstone Crab burrow away,Witness the gemstone crab burrow away.,,,,1,Easy,45.3,,
,74,Defeat a Buffalo,Defeat a Buffalo.,,,,1,Easy,58.7,,
,75,Defeat a Guard in Varlamore underground,Defeat a Guard in Varlamore underground.,,,,1,Easy,22.9,,
,76,Defeat a Seagull,Defeat a Seagull.,,,,1,Easy,64.6,,
,77,Defeat a thief,Defeat a thief.,,,,1,Easy,27,,
,78,Defeat an Icefiend in Varlamore,Defeat an Icefiend in Varlamore.,,,,1,Easy,23.5,,
,79,Defeat an Imp in a basement,Defeat an Imp in the Kastori basement in Varlamore.,,,,1,Easy,28.4,,
,80,Give Oli some Stew,Give Oli some Stew in Civitas illa Fortis.,,,,1,Easy,59.8,,
,81,Milk a Buffalo,Milk a Buffalo.,,,,1,Easy,72.7,,
